Word,Definition
breakfast,the first meal of the day (usually in the morning)
eggs,oval reproductive body of a fowl (especially a hen) used as food
touched,"make physical contact with, come in contact with"
history,the aggregate of past events
gladly,in a willing manner
piggy,a young pig
rides,a journey in a vehicle (usually an automobile)
sneak,a person who is regarded as underhanded and furtive and contemptible
locked,fasten with a lock
action,something done (usually as opposed to something said)
lots,a large number or amount
lunch,a midday meal
drug,a substance that is used as a medicine or narcotic
hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
float,the time interval between the deposit of a check in a bank and its payment
wealthy,having an abundant supply of money or possessions of value
switched,"change over, change around, as to a new order or sequence"
drivers,the operator of a motor vehicle
ducked,to move (the head or body) quickly downwards or away
newspaper,a daily or weekly publication on folded sheets; contains news and articles and advertisements
smelled,inhale the odor of; perceive by the olfactory sense
wreaths,flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes
pine,a coniferous tree
candles,stick of wax with a wick in the middle
baseballs,a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
letter,a written message addressed to a person or organization
wrote,produce a literary work
lumpy,like or containing small sticky lumps
wrapped,arrange or fold as a cover or protection
package,a collection of things wrapped or boxed together
lap,the upper side of the thighs of a seated person
pews,long bench with backs; used in church by the congregation
snuck,to go stealthily or furtively
fan,a device for creating a current of air by movement of a surface or surfaces
signed,mark with one's signature; write one's name (on)
carry,the act of carrying something
tease,someone given to teasing (as by mocking or stirring curiosity)
shiver,a reflex motion caused by cold or fear or excitement
causing,the act of causing something to happen
leaked,tell anonymously
patches,a small contrasting part of something
sweaters,a crocheted or knitted garment covering the upper part of the body
practicing,carry out or practice; as of jobs and professions
service,work done by one person or group that benefits another
elbows,hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
grief,intense sorrow caused by loss of a loved one (especially by death)
present,the period of time that is happening now; any continuous stretch of time including the moment of speech
balls,round object that is hit or thrown or kicked in games
winding,the act of winding or twisting
preacher,someone whose occupation is preaching the gospel
amazed,affect with wonder
shepherds,a clergyman who watches over a group of people
beautiful,delighting the senses or exciting intellectual or emotional admiration
yellow,yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
sparkles,merriment expressed by a brightness or gleam or animation of countenance
sky,the atmosphere and outer space as viewed from the earth
greatest,highest in quality
section,a self-contained part of a larger composition (written or musical)
juicy,full of juice
savored,derive or receive pleasure from; get enjoyment from; take pleasure in
special,a special offering (usually temporary and at a reduced price) that is featured in advertising
oranges,round yellow to orange fruit of any of several citrus trees
porcelain,ceramic ware made of a more or less translucent ceramic
bells,a hollow device made of metal that makes a ringing sound when struck
wedding,the social event at which the ceremony of marriage is performed
rubber,an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
perfume,a distinctive odor that is pleasant
girly,unavailable
handkerchief,a square piece of cloth used for wiping the eyes or nose or as a costume accessory
lined,be in line with; form a line along
lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
tamer,an animal trainer who tames wild animals
ringmaster,the person in charge of performances in a circus ring
tapped,cut a female screw thread with a tap
pearls,a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel
coaxed,"influence or urge by gentle urging, caressing, or flattering"
century,a period of 100 years
slitty,unavailable
decide,"reach, make, or come to a decision about something"
essay,an analytic or interpretive literary composition
seek,the movement of a read/write head to a specific data track on a disk
fortune,an unknown and unpredictable phenomenon that causes an event to result one way rather than another
afternoons,the part of the day between noon and evening
studying,reading carefully with intent to remember
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
script,a written version of a play or other dramatic composition; used in preparing for a performance
helps,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
country,a politically organized body of people under a single government
trudged,"walk heavily and firmly, as when weary, or through mud"
holidays,leisure time away from work devoted to rest or pleasure
written,produce a literary work
names,verbal abuse; a crude substitute for argument
roles,the actions and activities assigned to or required or expected of a person or group
assign,"give an assignment to (a person) to a post, or assign a task to (a person)"
parts,the local environment
care,the work of providing treatment for or attending to someone or something
younger,used of the younger of two persons of the same name especially used to distinguish a son from his father
broad,slang term for a woman
class,a collection of things sharing a common attribute
comes,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
circus,a travelling company of entertainers; including trained animals
famous,widely known and esteemed
fantastical,existing in fancy only; - Nathaniel Hawthorne
thanks,an acknowledgment of appreciation
lions,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
tigers,a terrorist organization in Sri Lanka that began in 1970 as a student protest over the limited university access for Tamil students; currently seeks to establish an independent Tamil state called Eelam; relies on guerilla strategy including terrorist tactics that target key government and military personnel
taken,carry out
ignore,refuse to acknowledge
clowns,a rude or vulgar fool
elephants,five-toed pachyderm
acrobats,an athlete who performs acts requiring skill and agility and coordination
freedom,the condition of being free; the power to act or speak or think without externally imposed restraints
millions,the number that is represented as a one followed by 6 zeros
prompted,give an incentive for action
hospital,a health facility where patients receive treatment
pointing,"indicate a place, direction, person, or thing; either spatially or figuratively"
rehearsing,engage in a rehearsal (of)
scripts,a written version of a play or other dramatic composition; used in preparing for a performance
brag,an instance of boastful talk
polite,"showing regard for others in manners, speech, behavior, etc."
uncrossed,change from a crossed to an uncrossed position
folded,bend or lay so that one part covers the other
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
rehearse,engage in a rehearsal (of)
tugged,pull hard
reported,to give an account or representation of in words
stage,any distinct time period in a sequence of events
splash,the sound like water splashing
knowing,a clear and certain mental apprehension
rip,a dissolute man in fashionable society
appendix,supplementary material that is collected and appended at the back of a book
lines,a formation of people or things one beside another
hat,headdress that protects the head from bad weather; has shaped crown and usually a brim
mouth,the opening through which food is taken in and vocalizations emerge
regret,sadness associated with some wrong done or some disappointment
believe,accept as true; take to be true
slowly,without speed (`slow' is sometimes used informally for `slowly')
daughter,a female human offspring
brightly,with brightness
message,a communication (usually brief) that is written or spoken or signaled
sewing,joining or attaching by stitches
news,information about recent and important events
thirty,the cardinal number that is the product of ten and three
frowned,"look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
delivered,"deliver (a speech, oration, or idea)"
march,the month following February and preceding April
lynched,kill without legal sanction
doorknob,a knob used to release the catch when opening a door (often called `doorhandle' in Great Britain)
concentrate,the desired mineral that is left after impurities have been removed from mined ore
pretended,make believe with the intent to deceive
scrambled,to move hurriedly
shut,move so that an opening or passage is obstructed; make shut
retitled,unavailable
changed,cause to change; make different; cause a transformation
ring,a characteristic sound
life,a characteristic state or mode of living
animals,a living organism characterized by voluntary movement
chatting,talk socially without exchanging too much information
books,a written work or composition that has been published (printed on pages bound together)
pictures,a visual representation (of an object or scene or person or abstraction) produced on a surface
seats,an area that includes places where several people can sit
velvet,a silky densely piled fabric with a plain back
plush,a fabric with a nap that is longer and softer than velvet
rehearsals,a practice session in preparation for a public performance (as of a play or speech or concert)
acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
shopping,searching for or buying goods or services
sidewalk,walk consisting of a paved area for pedestrians; usually beside a street or roadway
tent,a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
followed,"to travel behind, go after, come after"
squirrels,a kind of arboreal rodent having a long bushy tail
ham,meat cut from the thigh of a hog (usually smoked)
usher,Irish prelate who deduced from the Bible that Creation occurred in the year 4004 BC (1581-1656)
tickets,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
wants,a state of extreme poverty
chattered,click repeatedly or uncontrollably
dressed,put on clothes
feather,the light horny waterproof structure forming the external covering of birds
headdresses,clothing for the head
tongue,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
melt,the process whereby heat changes something from a solid to a liquid
snowflake,a crystal of snow
stairs,a flight of stairs or a flight of steps
watermelons,an African melon
colorful,having striking color
sunlight,the rays of the sun
blinking,a reflex that closes and opens the eyes rapidly
bull,uncastrated adult male of domestic cattle
bucking,to strive with determination
ringling,United States showman whose song-and-dance troop evolved into a circus (1863-1926)
printed,put into print
letters,the literary culture
neat,clean or organized
mini,a very short skirt
rodeo,an exhibition of cowboy skills
basket,a container that is usually woven and has handles
burst,the act of exploding or bursting
riding,the sport of siting on the back of a horse while controlling its movements
calf,young of domestic cattle
roping,capturing cattle or horses with a lasso
cowboy,a hired hand who tends cattle and performs other duties on horseback
wondered,have a wish or desire to know something
pouting,be in a huff and display one's displeasure
birthdays,an anniversary of the day on which a person was born (or the celebration of it)
celebrate,behave as expected during of holidays or rites
theater,a building where theatrical performances or motion-picture shows can be presented
turning,the act of changing or reversing the direction of the course
dozen,the cardinal number that is the sum of eleven and one
jacket,a short coat
excitement,the feeling of lively and cheerful joy
crowded,"cause to herd, drive, or crowd together"
outfits,any cohesive unit such as a military company
sequined,covered with beads or jewels or sequins
women,an adult female person (as opposed to a man)
artists,a person whose creative work shows sensitivity and imagination
trapeze,a swing used by circus acrobats
directions,a line leading to a place or point
rings,gymnastic apparatus consisting of a pair of heavy metal circles (usually covered with leather) suspended by ropes; used for gymnastic exercises
separate,a separately printed article that originally appeared in a larger publication
benches,a long seat for more than one person
enjoyed,derive or receive pleasure from; get enjoyment from; take pleasure in
division,an army unit large enough to sustain combat
mailed,send via the postal service
sweetie,a person loved by another person
telegram,a message transmitted by telegraph
roar,a deep prolonged loud noise
covering,a natural object that covers or envelops
shot,the act of firing a projectile
braids,a hairdo formed by braiding or twisting the hair
received,get something; come into possession of
cloth,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
patterned,plan or create according to a model or models
hiding,the activity of keeping something secret
rules,a principle or condition that customarily governs behavior
conversations,the use of speech for informal exchange of views or ideas or information etc.
interesting,excite the curiosity of; engage the interest of
grownups,a fully developed person from maturity onward
poems,a composition written in metrical feet forming rhythmical lines
storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
cursed,utter obscenities or profanities
sorting,an operation that segregates items into groups according to a specified criterion
beads,several beads threaded together on a string
vest,a man's sleeveless garment worn underneath a coat
fringed,adorn with a fringe
saddles,a seat for the rider of a horse or camel
patching,the act of mending a hole in a garment by sewing a patch over it
leather,an animal skin made smooth and flexible by removing the hair and then tanning
bits,a small piece or quantity of something
belt,endless loop of flexible material between two rotating shafts or pulleys
mauled,split (wood) with a maul and wedges
stomped,walk heavily
weight,the vertical force exerted by a mass as a result of gravity
shifted,make a shift in or exchange of
rehearsal,a practice session in preparation for a public performance (as of a play or speech or concert)
swaggered,"to walk with a lofty proud gait, often in an attempt to impress others"
begged,call upon in supplication; entreat
thick,the location of something surrounded by other things
straight,a heterosexual person; someone having a sexual orientation to persons of the opposite sex
multicolored,having sections or patches colored differently and usually brightly
fabric,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
shiny,reflecting light
adding,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of"
plaited,make by braiding or interlacing
combed,straighten with a comb
drilled,"make a hole, especially with a pointed power or hand tool"
loved,have a great affection or liking for
boots,footwear that covers the whole foot and lower leg
pin,a piece of jewelry that is pinned onto the wearer's garment
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
loaned,give temporarily; let have for a limited time
cutting,the activity of selecting the scenes to be shown and putting them together to create a film
yard,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
collapsed,"break down, literally or metaphorically"
unmoving,not in motion
plank,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
pink,a light shade of red
final,the final match between the winners of all previous matches in an elimination tournament
perform,carry out or perform an action
feats,a notable achievement
marksmanship,skill in shooting
inches,a unit of length equal to one twelfth of a foot
shorter,primarily temporal sense; indicating or being or seeming to be limited in duration
removed,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract"
tulle,a fine (often starched) net used for veils or tutus or gowns
forehead,the part of the face above the eyes
closer,a person who closes something
fighting,the act of fighting; any contest or struggle
sense,a general conscious awareness
doorway,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close
ought,unavailable
streamed,"to extend, wave or float outward, as if in the wind"
propped,support by placing against something solid or rigid
gravel,rock fragments and pebbles
lying,the deliberate act of deviating from the truth
twisted,"to move in a twisting or contorted motion, (especially when struggling)"
odd,not divisible by two
angle,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
upright,a vertical structural member as a post or stake
remained,stay the same; remain in a certain state
staggered,walk as if unable to control one's movements
shirt,a garment worn on the upper half of the body
fancy,something many people believe that is false
scurried,to move about or proceed hurriedly
ordered,give instructions to or direct somebody to do something with authority
mane,long coarse hair growing from the crest of the animal's neck
approached,move towards
echoed,to say again or imitate
click,a short light metallic sound
drawl,a slow speech pattern with prolonged vowels
aside,a line spoken by an actor to the audience but not intended for others on the stage
lasso,Belgian composer (1532-1594)
hairpins,a double pronged pin used to hold women's hair in place
rubbed,move over something with pressure
grabbing,take hold of so as to seize or restrain or stop the motion of
shirtsleeve,the sleeve of a shirt
pale,a wooden strip forming part of a fence
squeaked,"make a high-pitched, screeching noise"
hovered,be undecided about something; waver between conflicting positions or courses of action
crazed,cause to go crazy; cause to lose one's mind
swollen,"increase in size, magnitude, number, or intensity"
lip,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
charged,"to make a rush at or sudden attack upon, as in battle"
crawled,move slowly; in the case of people or animals with the body near the ground
yarn,the act of giving an account describing incidents or a course of events
imagine,form a mental image of something that is not present or that is not the case
hobbling,walk impeded by some physical limitation or injury
sweeping,the act of cleaning with a broom
leave,the period of time during which you are absent from work or duty
angry,feeling or showing anger
moonlight,the light of the Moon
locking,the act of locking something up to protect it
yelling,uttering a loud inarticulate cry as of pain or excitement
bandaged,wrap around with something so as to cover or enclose
ankle,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
stitched,fasten by sewing; do needlework
raw,informal terms for nakedness
steak,a slice of meat cut from the fleshy part of an animal or large fish
moaned,"indicate pain, discomfort, or displeasure"
poultice,a medical dressing consisting of a soft heated mass of meal or clay that is spread on a cloth and applied to the skin to treat inflamed areas or improve circulation etc.
sofa,an upholstered seat for more than one person
gash,a wound made by cutting
cousin,the child of your aunt or uncle
silently,without speaking
bawling,loud cries made while weeping
tend,have a tendency or disposition to do or be something; be inclined
stitches,"a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing"
elbert,unavailable
bruised,injure the underlying soft tissue or bone of
split,extending the legs at right angles to the trunk (one in front and the other in back)
kin,a person having kinship with another or others
group,any number of entities (members) considered as a unit
tonight,the present or immediately coming night
round,a charge of ammunition for a single shot
risking,expose to a chance of loss or damage
couch,an upholstered seat for more than one person
sleep,a natural and periodic state of rest during which consciousness of the world is suspended
colored,a United States term for Blacks that is now considered offensive
gets,a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
comfortable,providing or experiencing physical well-being or relief (`comfy' is informal)
prongs,a pointed projection
slingshot,a plaything consisting of a Y-shaped stick with elastic between the arms; used to propel small stones
whittling,cut small bits or pare shavings from
cage,an enclosure made or wire or metal bars in which birds or animals can be kept
longing,prolonged unfulfilled desire or need
iron,a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
snapper,(football) the person who plays center on the line of scrimmage and snaps the ball to the quarterback
sheriff,the principal law-enforcement officer in a county
hill,a local and well-defined elevation of the land
grassy,abounding in grass
steep,a steep place (as on a hill)
hooked,fasten with a hook
fooling,make a fool or dupe of
responsible,worthy of or requiring responsibility or trust; or held accountable
crops,the yield from plants in a single growing season
tucked,fit snugly into
acting,the performance of a part or role in a drama
recently,in the recent past
slept,be asleep
eagle,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
smudge,a smoky fire to drive away insects
slop,wet feed (especially for pigs) consisting of mostly kitchen waste mixed with water or skimmed or sour milk
pig,domestic swine
sees,the seat within a bishop's diocese where his cathedral is located
scolding,rebuking a person harshly
worth,an indefinite quantity of something having a specified value
view,a way of regarding situations or topics etc.
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
leaf,the main organ of photosynthesis and transpiration in higher plants
pocket,a small pouch inside a garment for carrying small articles
scratches,an abraded area where the skin is torn or worn off
brush,a dense growth of bushes
bees,any of numerous hairy-bodied insects including social and solitary species
lead,an advantage held by a competitor in a race
demonstrated,give an exhibition of to an interested audience
scrambling,to move hurriedly
warned,"notify of danger, potential harm, or risk"
uppity,presumptuously arrogant; ; - S.V.Benet; - NY Times
carrying,"move while supporting, either in a vehicle or in one's hands or on one's body"
baskets,a container that is usually woven and has handles
dumping,selling goods abroad at a price below that charged in the domestic market
lived,inhabit or live in; be an inhabitant of
ants,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
common,a piece of open land for recreational use in an urban area
collar,a band that fits around the neck and is usually folded over
owned,have ownership or possession of
thinks,an instance of deliberate thinking
cloud,"any collection of particles (e.g., smoke or dust) or gases that is visible"
bronco,an unbroken or imperfectly broken mustang
blew,exhale hard
ballerina,a female ballet dancer
sniffed,perceive by inhaling through the nose
shaking,the act of causing something to move up and down (or back and forth) with quick movements
awake,stop sleeping
expect,regard something as probable or likely
anymore,at the present or from now on; usually used with a negative
stoop,an inclination of the top half of the body forward and downward
cowboys,a hired hand who tends cattle and performs other duties on horseback
clouds,"any collection of particles (e.g., smoke or dust) or gases that is visible"
amazing,affect with wonder
earned,earn on some commercial or business transaction; earn as salary or wages
guns,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
uniform,clothing of distinctive design worn by members of a particular group as a means of identification
tops,the upper part of anything
lungs,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
nights,the time after sunset and before sunrise while it is dark outside
cap,a tight-fitting headdress
bananas,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
ripe,fully developed or matured and ready to be eaten or used
tossed,throw or toss with a light motion
giggling,laugh nervously
healed,heal or recover
mixing,the act of mixing together
healing,the natural process by which the body repairs itself
biting,"to grip, cut off, or tear with or as if with the teeth or jaws"
celebrating,behave as expected during of holidays or rites
entering,a movement into or inward
’cause,unavailable
hitched,to hook or entangle
ride,a journey in a vehicle (usually an automobile)
tells,a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
bite,a wound resulting from biting by an animal or a person
commotion,a disorderly outburst or tumult
edge,the boundary of a surface
station,a facility equipped with special equipment and personnel for a particular purpose
drank,take in liquids
stops,a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card
stalks,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds
load,weight to be borne or conveyed
passenger,a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
occasionally,now and then or here and there
truth,a fact that has been verified
bills,a statute in draft before it becomes law
dollar,the basic monetary unit in many countries; equal to 100 cents
quarters,housing available for people to live in
nickels,a hard malleable ductile silvery metallic element that is resistant to corrosion; used in alloys; occurs in pentlandite and smaltite and garnierite and millerite
pennies,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
nervous,easily agitated
weekend,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
bum,a person who is deemed to be despicable or contemptible
surprise,the astonishment you feel when something totally unexpected happens to you
hobble,a shackle for the ankles or feet
ape,any of various primates with short tails or no tail at all
wheels,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
taste,the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
cooking,the act of preparing something (as food) by the application of heat
fry,English painter and art critic (1866-1934)
pleasantly,in a cheerful manner
watched,look attentively
frying,cooking in fat or oil in a pan or griddle
pan,cooking utensil consisting of a wide metal vessel
hitting,the act of contacting one thing with another
spun,revolve quickly and repeatedly around one's own axis
cooks,someone who cooks food
mark,a number or letter indicating quality (especially of a student's performance)
prefect,a chief officer or chief magistrate
aimed,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards"
drawer,a boxlike container in a piece of furniture; made so as to slide in and out
rummaging,search haphazardly
hip,either side of the body below the waist and above the thigh
pistol,a firearm that is held and fired with one hand
square,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
stomach,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
punched,deliver a quick blow to
fading,weakening in force or intensity
bruises,an injury that doesn't break the skin but results in some discoloration
purple,a purple color or pigment
ashen,anemic looking from illness or emotion; ; ; ; ; - Mary W. Shelley
steady,a person loved by another person
bullet,a projectile that is fired from a gun
snatched,to grasp hastily or eagerly
weapon,any instrument or instrumentality used in fighting or hunting
equal,a person who is of equal standing with another in a group
setting,the context and environment in which something is set
plucked,pull or pull out sharply
barber,United States composer (1910-1981)
tripped,miss a step and fall or nearly fall
shelf,a support that consists of a horizontal surface for holding objects
overturned,turn from an upright or normal position
fired,start firing a weapon
thrown,propel through the air
chance,a possibility due to a favorable combination of circumstances
stitch,"a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing"
safest,free from danger or the risk of harm
sobbed,weep convulsively
patted,"pat or squeeze fondly or playfully, especially under the chin"
hall,an interior passage or corridor onto which rooms open
struck,"deliver a sharp blow, as with the hand, fist, or weapon"
handsome,pleasing in appearance especially by reason of conformity to ideals of form and proportion; ; ; ; - Thackeray; - Lillian Hellman
peaceful,not disturbed by strife or turmoil or war
coffin,box in which a corpse is buried or cremated
sewed,fasten by sewing; do needlework
jailhouse,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
potluck,whatever happens to be available especially when offered to an unexpected guest or when brought by guests and shared by all
defense,(military) military action or resources protecting a country against potential enemies
knees,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
attending,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
disloyal,showing lack of love for your country
killing,an event that causes someone to die
swore,utter obscenities or profanities
judge,a public official authorized to decide questions brought before a court of justice
self,your consciousness of your own identity
scrubbing,the act of cleaning a surface by rubbing it with a brush and soap and water
bloodstains,a discoloration caused by blood
degree,a position on a scale of intensity or amount or quality
finds,a productive insight
state,the territory occupied by one of the constituent administrative districts of a nation
murder,unlawful premeditated killing of a human being by a human being
envelope,"a flat (usually rectangular) container for a letter, thin package, etc."
jury,a body of citizens sworn to give a true verdict according to the evidence presented in a court of law
aloud,using the voice; not silently
sprawl,an aggregation or continuous network of urban communities
peers,a person who is of equal standing with another in a group
guilty,responsible for or chargeable with a reprehensible act
verdict,(law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
whisper,speaking softly without vibration of the vocal cords
whites,a member of the Caucasoid race
absolutely,completely and without qualification; used informally as intensifiers
rose,any of many shrubs of the genus Rosa that bear roses
hang,a special way of doing something
main,any very large body of (salt) water
balcony,an upper floor projecting from the rear over the main floor in an auditorium
trusted,have confidence or faith in
railing,a barrier consisting of a horizontal bar and supports
splinter,a small thin sharp bit or wood or glass or metal
testify,give testimony in a court of law
true,proper alignment; the property possessed by something that is in correct or proper alignment
newspapermen,a journalist employed to provide news stories for newspapers or broadcast media
haircut,the style in which hair has been cut
passions,a strong feeling or emotion
district,a region marked off for administrative or other purposes
courtroom,a room in which a lawcourt sits
trial,the act of testing something
father,a male parent (also used as a term of address to your father)
box,a (usually rectangular) container; may have a lid
including,"have as a part, be made up out of"
gauze,(medicine) bleached cotton cloth of plain weave used for bandages and dressings
mask,a covering to disguise or conceal the face
flu,an acute febrile highly contagious viral disease
poster,a sign posted in a public place as an advertisement
salve,semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
bowed,"bend one's knee or body, or lower one's head"
kneeled,rest one's weight on one's knees
screaming,sharp piercing cry
toughest,not given to gentleness or sentimentality
cradling,hold gently and carefully
bedside,space by the side of a bed (especially the bed of a sick or dying person)
absent,go away or leave
transferred,transfer somebody to a different position or location of work
execution,putting a condemned person to death
aspirin,"the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
bend,a circular segment of a curve
song,a short musical composition with words
waaaaa,unavailable
wearing,(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)
fever,a rise in the temperature of the body; frequently a symptom of infection
cinnamon,aromatic bark used as a spice
glass,a brittle transparent solid with irregular atomic structure
baby,a very young child (birth to 1 year) who has not yet begun to walk or talk
gently,in a gradual manner
rocked,move back and forth or sideways
scheduled,plan for an activity or event
sickest,affected by an impairment of normal physical or mental function
midnight,12 o'clock at night; the middle of the night
feverish,marked by intense agitation or emotion
jumping,the act of participating in an athletic competition in which you must jump
fit,a display of bad temper
coughing,a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
sick,people who are sick
easier,posing no difficulty; requiring little effort
couches,an upholstered seat for more than one person
sneezing,a symptom consisting of the involuntary expulsion of air from the nose
cots,a sheath worn to protect a finger
coughed,"exhale abruptly, as when one has a chest cold or congestion"
missed,fail to perceive or to catch with the senses or the mind
note,a brief written record
keys,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
reason,a rational motive for a belief or action
fitful,occurring in spells and often abruptly
horrible,provoking horror; ; ; ; - Winston Churchill
rasping,uttering in an irritated tone
noises,sound of any kind (especially unintelligible or dissonant sound)
families,a social unit living together
offering,something offered (as a proposal or bid)
drink,a single serving of a beverage
cup,a small open container usually used for drinking; usually has a handle
gasp,a short labored intake of breath with the mouth open
feeling,the experiencing of affective and emotional states
husband,a married man; a woman's partner in marriage
tray,an open receptacle for holding or displaying or serving articles or food
snoring,the act of snoring or producing a snoring sound
bowls,a bowling game played on a level lawn with biased wooden balls that are rolled at a jack
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
yesterday,the day immediately before today
whined,move with a whining sound
smaller,small or little relative to something else
dozed,sleep lightly or for a short period of time
pouring,cause to run
stead,the post or function properly or customarily occupied or served by another
broth,liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces
draped,arrange in a particular way
pallet,the range of colour characteristic of a particular artist or painting or school of art
dear,a beloved person; used as terms of endearment
die,a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
piped,utter a shrill cry
bites,a wound resulting from biting by an animal or a person
delirious,experiencing delirium
past,the time that has elapsed
feed,food for domestic livestock
reach,the limits within which something can be effective
cupboard,a small room (or recess) or cabinet used for storage space
dug,an udder or breast or teat
biscuit,small round bread leavened with baking-powder or soda
stake,(law) a right or legal share of something; a financial involvement with something
trusts,something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)
uncomfortable,conducive to or feeling mental discomfort
exam,a set of questions or exercises evaluating skill or knowledge
postal,of or relating to the system for delivering mail
funerals,a ceremony at which a dead person is buried or cremated
alive,possessing life
bodies,"the entire structure of an organism (an animal, plant, or human being)"
stamped,walk heavily
brakes,a braking device consisting of a combination of interacting parts that work to slow a motor vehicle
annoying,the act of troubling or annoying someone
praise,an expression of approval and commendation
touch,the event of something coming in contact with the body
spinning,creating thread
impressed,have an emotional or cognitive impact upon
scare,sudden mass fear and anxiety over anticipated events
adult,a fully developed person from maturity onward
branch,a division of some larger or more complex organization
snort,a disrespectful laugh
backseat,a secondary or inferior position or status
blankets,bedding that keeps a person warm in bed
thousandth,"position 1,000 in a countable series of things"
